Rdzenie procesora,Przyspieszenie
1357,9.9341142,
1358,9.9341624,
1359,9.9342105,
1360,9.9342586,
1361,9.9343066,
1362,9.9343545,
1363,9.9344023,
1364,9.9344501,
1365,9.9344978,
1366,9.9345455,
1367,9.9345930,
1368,9.9346405,
1369,9.9346880,
1370,9.9347353,
1371,9.9347826,
1372,9.9348298,
1373,9.9348770,
1374,9.9349241,
1375,9.9349711,
1376,9.9350181,
1377,9.9350649,
1378,9.9351118,
1379,9.9351585,
1380,9.9352052,
1381,9.9352518,
1382,9.9352983,
1383,9.9353448,
1384,9.9353912,
1385,9.9354376,
1386,9.9354839,
1387,9.9355301,
1388,9.9355762,
1389,9.9356223,
1390,9.9356683,
1391,9.9357143,
1392,9.9357602,
1393,9.9358060,
1394,9.9358517,
1395,9.9358974,
1396,9.9359431,
1397,9.9359886,
1398,9.9360341,
1399,9.9360795,
1400,9.9361249,
1401,9.9361702,
1402,9.9362155,
1403,9.9362606,
1404,9.9363057,
1405,9.9363508,
1406,9.9363958,
1407,9.9364407,
1408,9.9364855,
1409,9.9365303,
1410,9.9365751,
1411,9.9366197,
1412,9.9366643,
1413,9.9367089,
1414,9.9367533,
1415,9.9367978,
1416,9.9368421,
1417,9.9368864,
1418,9.9369306,
1419,9.9369748,
1420,9.9370189,
1421,9.9370629,
1422,9.9371069,
1423,9.9371508,
1424,9.9371947,
1425,9.9372385,
1426,9.9372822,
1427,9.9373259,
1428,9.9373695,
1429,9.9374131,
1430,9.9374566,
1431,9.9375000,
1432,9.9375434,
1433,9.9375867,
1434,9.9376299,
1435,9.9376731,
1436,9.9377163,
1437,9.9377593,
1438,9.9378023,
1439,9.9378453,
1440,9.9378882,
1441,9.9379310,
1442,9.9379738,
1443,9.9380165,
1444,9.9380592,
1445,9.9381018,
1446,9.9381443,
1447,9.9381868,
1448,9.9382292,
1449,9.9382716,
1450,9.9383139,
1451,9.9383562,
1452,9.9383984,
1453,9.9384405,
1454,9.9384826,
1455,9.9385246,
1456,9.9385666,
1457,9.9386085,
1458,9.9386503,
1459,9.9386921,
1460,9.9387338,
1461,9.9387755,
1462,9.9388171,
1463,9.9388587,
1464,9.9389002,
1465,9.9389417,
1466,9.9389831,
1467,9.9390244,
1468,9.9390657,
